,holes_count,bench_anon,powder_factor_kg_t,ucs_mpa,rmr,moisture_pct,mean_payload_t,throughput_tph,average_power_kw,specific_energy_kwh_t,peak_power_kw
holes_count,1.0,0.032347854164417225,0.010003500935294753,0.010164888067840008,0.018094923604080528,0.02560648036192533,0.012538526938408906,0.0038124342139097813,0.2756930313329275,0.35765159059525575,0.2518539351594841
bench_anon,0.032347854164417225,1.0,0.015635472139136693,0.011409181839392584,-0.009948540226716825,-0.016781234574137355,-0.01812266170667411,0.015139609761732186,0.0223457541985981,0.0028054264695343252,0.03493920402577328
powder_factor_kg_t,0.010003500935294753,0.015635472139136693,1.0,0.002274874681696544,-0.0058250710751005606,0.014367591639646023,-0.01624966837873677,-0.022401129635390784,0.05039455605810526,0.11300736939410494,0.046388539001535625
ucs_mpa,0.010164888067840008,0.011409181839392584,0.002274874681696544,1.0,0.028081092063872798,-0.030117460808591574,0.00922975506600299,-0.009762584722916688,0.24344474964687843,0.3477764494757297,0.2283577733058323
rmr,0.018094923604080528,-0.009948540226716825,-0.0058250710751005606,0.028081092063872798,1.0,0.012873543110694321,-0.025968885849704557,0.021460248002828978,0.038636455450404984,0.016721247353421412,0.025340213400125645
moisture_pct,0.02560648036192533,-0.016781234574137355,0.014367591639646023,-0.030117460808591574,0.012873543110694321,1.0,-0.029267268265510196,-0.02039743431235968,0.02792366291202233,0.07020732977082168,0.02989037841416937
mean_payload_t,0.012538526938408906,-0.01812266170667411,-0.01624966837873677,0.00922975506600299,-0.025968885849704557,-0.029267268265510196,1.0,-0.028383773323711517,-0.017736529944773056,0.03316410537505236,-0.019371287132314872
throughput_tph,0.0038124342139097813,0.015139609761732186,-0.022401129635390784,-0.009762584722916688,0.021460248002828978,-0.02039743431235968,-0.028383773323711517,1.0,0.8269718633532416,-0.6182754748229888,0.7714808972130749
average_power_kw,0.2756930313329275,0.0223457541985981,0.05039455605810526,0.24344474964687843,0.038636455450404984,0.02792366291202233,-0.017736529944773056,0.8269718633532416,1.0,-0.08687706982382865,0.9336168005853923
specific_energy_kwh_t,0.35765159059525575,0.0028054264695343252,0.11300736939410494,0.3477764494757297,0.016721247353421412,0.07020732977082168,0.03316410537505236,-0.6182754748229888,-0.08687706982382865,1.0,-0.07798258394339865
peak_power_kw,0.2518539351594841,0.03493920402577328,0.046388539001535625,0.2283577733058323,0.025340213400125645,0.02989037841416937,-0.019371287132314872,0.7714808972130749,0.9336168005853923,-0.07798258394339865,1.0
