column,dtype,missing,missing_pct,unique_values
blast_name,object,0,0.0,2625
year,int64,0,0.0,3
firing_datetime,datetime64[ns],0,0.0,2625
holes_count,int64,0,0.0,487
bench_anon,int64,0,0.0,47
powder_factor_kg_t,float64,0,0.0,2620
ucs_mpa,float64,0,0.0,2613
rmr,float64,0,0.0,2610
moisture_pct,float64,0,0.0,2615
mean_payload_t,float64,0,0.0,2622
throughput_tph,float64,0,0.0,2620
traceability_confidence,object,0,0.0,3
crusher_id,object,0,0.0,2
average_power_kw,float64,0,0.0,2625
specific_energy_kwh_t,float64,0,0.0,2625
peak_power_kw,float64,0,0.0,2625
data_status,object,0,0.0,1
